,count,mean,std,min,25%,50%,75%,max
Age,10000.0,46.68,16.72,18.0,32.0,46.0,61.0,75.0
AnnualIncome,10000.0,79201.97,33039.94,17202.0,56105.0,72942.0,95092.0,376916.0
RiskScore,10000.0,58.14,14.27,15.0,48.0,57.0,67.0,95.0
AnnualPremium,10000.0,2488.13,735.67,951.0,2028.0,2307.0,2676.0,5105.0
Deductible,10000.0,751.7,500.51,250.0,500.0,500.0,1000.0,2000.0
NCD,10000.0,20.94,14.55,0.0,10.0,20.0,30.0,50.0
PastClaims,10000.0,1.06,1.05,0.0,0.0,1.0,2.0,5.0
TotalPremium,10000.0,2488.13,735.67,951.0,2028.0,2307.0,2676.0,5105.0
TotalClaims,10000.0,1314.19,3921.86,0.0,0.0,0.0,0.0,49623.0
CustomValueEstimate,10000.0,35640.6,22353.99,5022.0,21442.75,28522.0,46721.0,134914.0
Margin,10000.0,1173.94,3742.98,-44594.0,1812.0,2165.0,2504.25,5079.0
