TransactionMonth,total_premium,total_claims,policies,loss_ratio
2024-01,1413501,764324.0,558,0.5407311349620552
2024-02,1333583,661946.0,531,0.49636655536250834
2024-03,1327698,725682.0,538,0.5465715848031706
2024-04,1380709,751881.0,553,0.5445615259985993
2024-05,1423373,941073.0,575,0.6611569841496221
2024-06,1440271,810706.0,577,0.5628843460709825
2024-07,1343126,660642.0,536,0.4918689683618663
2024-08,1437183,830639.0,590,0.5779632795545174
2024-09,1434450,665107.0,568,0.46366691066262333
2024-10,1368374,707146.0,552,0.5167783076848873
2024-11,1339719,790842.0,538,0.5903043847254537
2024-12,1552142,761698.0,634,0.49073989364375165
2025-01,1365166,625192.0,550,0.4579604238605415
2025-02,1272811,686748.0,505,0.5395522194575628
2025-03,1389184,759266.0,560,0.5465553879111766
2025-04,1377533,526153.0,561,0.38195310021611095
2025-05,1318194,780392.0,529,0.5920160461965386
2025-06,1364262,692448.0,545,0.5075623304028112
